ledgerId,entityType,razorpayEntityId,merchantReference,grossPaise,feePaise,taxPaise,netPaise,status,occurredAt,adjustmentReason
"led-33","payment","pay_0033","ORD-33","11655","233","42","11380","captured","2026-09-01T10:00:00Z",""
"led-34","payment","pay_0034","ORD-34","152669","3053","550","149066","captured","2026-09-01T10:00:00Z",""
"led-35","payment","pay_0035","ORD-35","178289","3566","642","174081","captured","2026-09-01T10:00:00Z",""
"led-36","payment","pay_0036","ORD-36","182385","3648","657","178080","captured","2026-09-01T10:00:00Z",""
"led-37","payment","pay_0037","ORD-37","35207","704","127","34376","captured","2026-09-01T10:00:00Z",""
"led-38","payment","pay_0038","ORD-38","40913","818","147","39948","captured","2026-09-01T10:00:00Z",""
"led-39","payment","pay_0039","ORD-39","130071","2601","468","127002","captured","2026-09-01T10:00:00Z",""
"led-40","payment","pay_0040","ORD-40","29968","599","108","29261","captured","2026-09-01T10:00:00Z",""
"led-41","payment","pay_0041","ORD-41","172530","3451","621","168458","captured","2026-09-01T10:00:00Z",""
"led-42","payment","pay_0042","ORD-42","141666","2833","510","138323","captured","2026-09-01T10:00:00Z",""
"led-43","payment","pay_0043","ORD-43","31494","630","113","30751","captured","2026-09-01T10:00:00Z",""
"led-44","refund","refund_0044","ORD-44","182070","0","0","-182070","refunded","2026-09-01T10:00:00Z",""
"led-45","payment","pay_0045","ORD-45","177444","3549","639","173256","captured","2026-09-01T10:00:00Z",""
"led-46","payment","pay_0046","ORD-46","20863","417","75","20371","captured","2026-09-01T10:00:00Z",""
"led-47","payment","pay_0047","ORD-47","91207","1824","328","89055","captured","2026-09-01T10:00:00Z",""
"led-48","payment","pay_0048","ORD-48","160039","3201","576","156262","captured","2026-09-01T10:00:00Z",""
"led-49","transfer","transfer_0049","ORD-49","22780","0","0","22780","transferred","2026-09-01T10:00:00Z",""
"led-50","transfer","transfer_0050","ORD-50","159448","0","0","159448","transferred","2026-09-01T10:00:00Z",""
"led-51","payment","pay_0051","ORD-51","96823","1936","348","94539","captured","2026-09-01T10:00:00Z",""
"led-52","refund","refund_0052","ORD-52","107373","0","0","-107373","refunded","2026-09-01T10:00:00Z",""
"led-53","payment","pay_0053","ORD-53","89255","1785","321","87149","captured","2026-09-01T10:00:00Z",""
"led-54","payment","pay_0054","ORD-54","41868","837","151","40880","captured","2026-09-01T10:00:00Z",""
"led-55","adjustment","adjustment_0055","ORD-55","44556","0","0","44556","adjusted","2026-09-01T10:00:00Z","gateway_fee_correction"
"led-56","payment","pay_0056","ORD-56","33970","679","122","33169","captured","2026-09-01T10:00:00Z",""
"led-57","payment","pay_0057","ORD-57","151515","3030","545","147940","captured","2026-09-01T10:00:00Z",""
"led-58","adjustment","adjustment_0058","ORD-58","76763","0","0","76763","adjusted","2026-09-01T10:00:00Z","gateway_fee_correction"
"led-59","payment","pay_0059","ORD-59","52535","1051","189","51295","captured","2026-09-01T10:00:00Z",""
"led-60","transfer","transfer_0060","ORD-60","162888","0","0","162888","transferred","2026-09-01T10:00:00Z",""
"led-61","adjustment","adjustment_0061","ORD-61","99042","0","0","99042","adjusted","2026-09-01T10:00:00Z","gateway_fee_correction"
"led-62","refund","refund_0062","ORD-62","160671","0","0","-160671","refunded","2026-09-01T10:00:00Z",""
"led-63","refund","refund_0063","ORD-63","108773","0","0","-108773","refunded","2026-09-01T10:00:00Z",""
"led-64","payment","pay_0064","ORD-64","153841","3077","554","150210","captured","2026-09-01T10:00:00Z",""
"led-65","payment","pay_0065","ORD-65","190418","3808","685","185925","captured","2026-09-01T10:00:00Z",""
"led-66","transfer","transfer_0066","ORD-66","182137","0","0","182137","transferred","2026-09-01T10:00:00Z",""
"led-67","refund","refund_0067","ORD-67","107698","0","0","-107698","refunded","2026-09-01T10:00:00Z",""
"led-68","adjustment","adjustment_0068","ORD-68","197668","0","0","197668","adjusted","2026-09-01T10:00:00Z","gateway_fee_correction"
"led-69","payment","pay_0069","ORD-69","181115","3622","652","176841","captured","2026-09-01T10:00:00Z",""
"led-70","payment","pay_0070","ORD-70","47210","944","170","46096","captured","2026-09-01T10:00:00Z",""
"led-71","payment","pay_0071","ORD-71","181692","3634","654","177404","captured","2026-09-01T10:00:00Z",""
"led-72","payment","pay_0072","ORD-72","31461","629","113","30719","captured","2026-09-01T10:00:00Z",""
"led-73","payment","pay_0073","ORD-73","92171","1843","332","89996","captured","2026-09-01T10:00:00Z",""
"led-74","adjustment","adjustment_0074","ORD-74","198681","0","0","198681","adjusted","2026-09-01T10:00:00Z","gateway_fee_correction"
"led-75","payment","pay_0075","ORD-75","164738","3295","593","160850","captured","2026-09-01T10:00:00Z",""
"led-76","transfer","transfer_0076","ORD-76","90991","0","0","90991","transferred","2026-09-01T10:00:00Z",""
"led-77","adjustment","adjustment_0077","ORD-77","126096","0","0","126096","adjusted","2026-09-01T10:00:00Z","gateway_fee_correction"
"led-78","payment","pay_0078","ORD-78","66118","1322","238","64558","captured","2026-09-01T10:00:00Z",""
"led-79","payment","pay_0079","ORD-79","83390","1668","300","81422","captured","2026-09-01T10:00:00Z",""
"led-80","transfer","transfer_0080","ORD-80","106675","0","0","106675","transferred","2026-09-01T10:00:00Z",""
"led-81","refund","refund_0081","ORD-81","49622","0","0","-49622","refunded","2026-09-01T10:00:00Z",""
"led-82","refund","refund_0082","ORD-82","48094","0","0","-48094","refunded","2026-09-01T10:00:00Z",""
"led-83","payment","pay_0083","ORD-83","163062","3261","587","159214","captured","2026-09-01T10:00:00Z",""
"led-84","refund","refund_0084","ORD-84","159356","0","0","-159356","refunded","2026-09-01T10:00:00Z",""
"led-85","payment","pay_0085","ORD-85","158086","3162","569","154355","captured","2026-09-01T10:00:00Z",""
"led-86","refund","refund_0086","ORD-86","180807","0","0","-180807","refunded","2026-09-01T10:00:00Z",""
"led-87","payment","pay_0087","ORD-87","103344","2067","372","100905","captured","2026-09-01T10:00:00Z",""
"led-88","transfer","transfer_0088","ORD-88","132719","0","0","132719","transferred","2026-09-01T10:00:00Z",""
"led-89","adjustment","adjustment_0089","ORD-89","103468","0","0","103468","adjusted","2026-09-01T10:00:00Z","gateway_fee_correction"
"led-90","transfer","transfer_0090","ORD-90","178611","0","0","178611","transferred","2026-09-01T10:00:00Z",""
"led-91","transfer","transfer_0091","ORD-91","44274","0","0","44274","transferred","2026-09-01T10:00:00Z",""
"led-92","payment","pay_0092","ORD-92","156632","3133","564","152935","captured","2026-09-01T10:00:00Z",""
"led-93","transfer","transfer_0093","ORD-93","173763","0","0","173763","transferred","2026-09-01T10:00:00Z",""
"led-94","payment","pay_0094","ORD-94","89481","1790","322","87369","captured","2026-09-01T10:00:00Z",""
"led-95","transfer","transfer_0095","ORD-95","98592","0","0","98592","transferred","2026-09-01T10:00:00Z",""
"led-96","payment","pay_0096","ORD-96","144459","2889","520","141050","captured","2026-09-01T10:00:00Z",""
"led-97","payment","pay_0097","ORD-97","182328","3647","656","178025","captured","2026-09-01T10:00:00Z",""
"led-102","payment","pay_0102","ORD-102","89464","1791","322","87351","captured","2026-09-01T10:00:00Z",""
"led-103","transfer","transfer_0103","ORD-103","20727","0","0","20727","transferred","2026-09-01T10:00:00Z",""
"led-104","payment","pay_0104","ORD-104","127127","2545","458","124124","captured","2026-09-01T10:00:00Z",""
"led-105","refund","refund_0105","ORD-105","97740","0","0","-97940","refunded","2026-09-01T10:00:00Z",""
"led-106","refund","refund_0106","ORD-106","32395","0","0","-32395","refunded","2026-09-01T10:00:00Z",""
"led-duplicate-106","refund","refund_0106","ORD-106","32395","0","0","-32395","refunded","2026-09-01T10:00:00Z",""
"led-107","payment","pay_0107","ORD-107","40834","817","147","39870","captured","2026-09-01T10:00:00Z",""
"led-duplicate-107","payment","pay_0107","ORD-107","40834","817","147","39870","captured","2026-09-01T10:00:00Z",""
"led-108","payment","pay_0108","ORD-108","104017","2080","374","101563","captured","2026-09-01T10:00:00Z",""
"led-duplicate-108","payment","pay_0108","ORD-108","104017","2080","374","101563","captured","2026-09-01T10:00:00Z",""
"led-109","adjustment","adjustment_0109","ORD-109","199343","0","0","199343","adjusted","2026-09-01T10:00:00Z","manual_adjustment_without_evidence"
"led-110","adjustment","adjustment_0110","ORD-110","18667","0","0","18667","adjusted","2026-09-01T10:00:00Z","manual_adjustment_without_evidence"
"led-111","adjustment","adjustment_0111","ORD-111","75391","0","0","75391","adjusted","2026-09-01T10:00:00Z","manual_adjustment_without_evidence"
"led-112","payment","pay_0112","ORD-112","141650","2833","510","138307","captured","2026-09-01T10:00:00Z",""
"led-113","refund","refund_0113","ORD-113","137264","0","0","-137264","refunded","2026-09-01T10:00:00Z",""
"led-114","payment","pay_0114","ORD-114","52472","1049","189","51234","captured","2026-09-01T10:00:00Z",""
"led-115","payment","pay_0115","ORD-115","80244","1605","289","78350","captured","2026-09-01T10:00:00Z",""
"led-116","adjustment","adjustment_0116","ORD-116","75179","0","0","75179","adjusted","2026-09-01T10:00:00Z","gateway_fee_correction"
"led-117","payment","pay_0117","ORD-117","138041","2761","497","134783","captured","2026-09-01T10:00:00Z",""
"led-118","transfer","transfer_0118","ORD-118","198805","0","0","198805","transferred","2026-09-01T10:00:00Z",""
"led-119","payment","pay_0119","ORD-119","193663","3873","697","189093","captured","2026-09-01T10:00:00Z",""
"led-120","transfer","transfer_0120","ORD-120","134254","0","0","134254","transferred","2026-09-01T10:00:00Z",""
