settlementId,entityType,entityId,createdAt,settledAt,grossPaise,feePaise,taxPaise,netPaise,referenceId,rawSourceId
"setl_7","adjustment","adjustment_0021","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","97789","0","0","97789","ORD-21","rp-21"
"setl_8","refund","refund_0022","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","86766","0","0","-86766","ORD-22","rp-22"
"setl_8","transfer","transfer_0023","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","67550","0","0","67550","ORD-23","rp-23"
"setl_8","payment","pay_0024","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","114191","2284","411","111496","ORD-24","rp-24"
"setl_9","payment","pay_0025","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","49772","995","179","48598","ORD-25","rp-25"
"setl_9","transfer","transfer_0026","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","24165","0","0","24165","ORD-26","rp-26"
"setl_9","refund","refund_0027","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","143552","0","0","-143552","ORD-27","rp-27"
"setl_10","refund","refund_0028","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","25421","0","0","-25421","ORD-28","rp-28"
"setl_10","payment","pay_0029","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","114290","2286","411","111593","ORD-29","rp-29"
"setl_10","payment","pay_0030","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","19635","393","71","19171","ORD-30","rp-30"
"setl_11","refund","refund_0031","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","72855","0","0","-72855","ORD-31","rp-31"
"setl_11","transfer","transfer_0032","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","14425","0","0","14425","ORD-32","rp-32"
"setl_11","payment","pay_0033","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","84062","1681","303","82078","ORD-33","rp-33"
"setl_12","payment","pay_0034","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","139857","2797","503","136557","ORD-34","rp-34"
"setl_12","adjustment","adjustment_0035","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","115242","0","0","115242","ORD-35","rp-35"
"setl_12","payment","pay_0036","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","48035","961","173","46901","ORD-36","rp-36"
"setl_13","refund","refund_0037","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","159441","0","0","-159441","ORD-37","rp-37"
"setl_13","payment","pay_0038","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","72964","1459","263","71242","ORD-38","rp-38"
"setl_13","payment","pay_0039","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","175825","3517","633","171675","ORD-39","rp-39"
"setl_14","adjustment","adjustment_0040","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","41050","0","0","41050","ORD-40","rp-40"
"setl_14","payment","pay_0041","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","15489","310","56","15123","ORD-41","rp-41"
"setl_14","refund","refund_0042","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","137011","0","0","-137011","ORD-42","rp-42"
"setl_15","adjustment","adjustment_0043","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","19246","0","0","19246","ORD-43","rp-43"
"setl_15","transfer","transfer_0044","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","100171","0","0","100171","ORD-44","rp-44"
"setl_15","refund","refund_0045","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","156466","0","0","-156466","ORD-45","rp-45"
"setl_16","refund","refund_0046","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","180713","0","0","-180713","ORD-46","rp-46"
"setl_16","payment","pay_0047","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","33335","667","120","32548","ORD-47","rp-47"
"setl_16","transfer","transfer_0048","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","171024","0","0","171024","ORD-48","rp-48"
"setl_17","payment","pay_0049","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","133303","2666","480","130157","ORD-49","rp-49"
"setl_17","payment","pay_0050","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","197300","3946","710","192644","ORD-50","rp-50"
"setl_17","adjustment","adjustment_0051","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","84788","0","0","84788","ORD-51","rp-51"
"setl_18","transfer","transfer_0052","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","198790","0","0","198790","ORD-52","rp-52"
"setl_18","payment","pay_0053","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","86825","1737","313","84775","ORD-53","rp-53"
"setl_18","transfer","transfer_0054","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","120496","0","0","120496","ORD-54","rp-54"
"setl_19","payment","pay_0055","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","138762","2775","500","135487","ORD-55","rp-55"
"setl_19","payment","pay_0056","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","29916","598","108","29210","ORD-56","rp-56"
"setl_19","payment","pay_0057","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","19086","382","69","18635","ORD-57","rp-57"
"setl_20","adjustment","adjustment_0058","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","196243","0","0","196243","ORD-58","rp-58"
"setl_20","payment","pay_0059","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","189707","3794","683","185230","ORD-59","rp-59"
"setl_20","payment","pay_0060","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","16691","334","60","16297","ORD-60","rp-60"
"setl_21","payment","pay_0061","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","40943","819","147","39977","ORD-61","rp-61"
"setl_21","transfer","transfer_0062","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","46411","0","0","46411","ORD-62","rp-62"
"setl_21","payment","pay_0063","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","147475","2950","531","143994","ORD-63","rp-63"
"setl_22","payment","pay_0064","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","192203","3844","692","187667","ORD-64","rp-64"
"setl_22","payment","pay_0065","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","144188","2884","519","140785","ORD-65","rp-65"
"setl_22","payment","pay_0066","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","169731","3395","611","165725","ORD-66","rp-66"
"setl_23","payment","pay_0067","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","81291","1626","293","79372","ORD-67","rp-67"
"setl_23","payment","pay_0068","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","70179","1404","253","68522","ORD-68","rp-68"
"setl_23","refund","refund_0069","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","55619","0","0","-55619","ORD-69","rp-69"
"setl_24","refund","refund_0070","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","50738","0","0","-50738","ORD-70","rp-70"
"setl_24","payment","pay_0071","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","177419","3548","639","173232","ORD-71","rp-71"
"setl_24","payment","pay_0072","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","192356","3847","692","187817","ORD-72","rp-72"
"setl_25","payment","pay_0073","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","138337","2767","498","135072","ORD-73","rp-73"
"setl_25","payment","pay_0074","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","23252","465","84","22703","ORD-74","rp-74"
"setl_25","refund","refund_0075","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","124086","0","0","-124086","ORD-75","rp-75"
"setl_26","transfer","transfer_0076","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","114198","0","0","114198","ORD-76","rp-76"
"setl_26","adjustment","adjustment_0077","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","192050","0","0","192050","ORD-77","rp-77"
"setl_26","refund","refund_0078","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","20024","0","0","-20024","ORD-78","rp-78"
"setl_27","payment","pay_0079","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","149242","2985","537","145720","ORD-79","rp-79"
"setl_27","adjustment","adjustment_0080","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","117046","0","0","117046","ORD-80","rp-80"
"setl_27","transfer","transfer_0081","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","75153","0","0","75153","ORD-81","rp-81"
"setl_28","payment","pay_0082","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","50884","1018","183","49683","ORD-82","rp-82"
"setl_28","payment","pay_0083","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","122090","2442","440","119208","ORD-83","rp-83"
"setl_28","payment","pay_0084","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","199170","3983","717","194470","ORD-84","rp-84"
"setl_29","refund","refund_0085","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","199975","0","0","-199975","ORD-85","rp-85"
"setl_29","payment","pay_0086","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","149951","2999","540","146412","ORD-86","rp-86"
"setl_29","payment","pay_0087","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","177465","3549","639","173277","ORD-87","rp-87"
"setl_30","payment","pay_0088","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","71737","1435","258","70044","ORD-88","rp-88"
"setl_30","refund","refund_0089","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","48180","0","0","-48180","ORD-89","rp-89"
"setl_30","transfer","transfer_0090","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","187427","0","0","187427","ORD-90","rp-90"
"setl_31","payment","pay_0091","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","83851","1677","302","81872","ORD-91","rp-91"
"setl_31","payment","pay_0092","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","196553","3931","708","191914","ORD-92","rp-92"
"setl_31","payment","pay_0093","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","47475","950","171","46354","ORD-93","rp-93"
"setl_32","refund","refund_0094","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","177484","0","0","-177484","ORD-94","rp-94"
"setl_32","adjustment","adjustment_0095","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","187830","0","0","187830","ORD-95","rp-95"
"setl_32","payment","pay_0096","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","75828","1517","273","74038","ORD-96","rp-96"
"setl_33","payment","pay_0097","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","73058","1461","263","71334","ORD-97","rp-97"
"setl_33","payment","pay_0098","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","76878","1538","277","75063","ORD-98","rp-98"
"setl_33","payment","pay_0099","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","44169","883","159","43127","ORD-99","rp-99"
"setl_34","refund","refund_0100","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","28318","0","0","-28318","ORD-100","rp-100"
"setl_34","refund","refund_0101","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","69477","0","0","-69477","ORD-101","rp-101"
"setl_34","payment","pay_0102","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","68285","1366","246","66673","ORD-102","rp-102"
"setl_35","refund","refund_0103","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","33315","0","0","-33315","ORD-103","rp-103"
"setl_35","payment","pay_0104","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","13034","261","47","12726","ORD-104","rp-104"
"setl_35","refund","refund_0105","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","12102","0","0","-12102","ORD-105","rp-105"
"setl_36","payment","pay_0106","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","139516","2790","502","136224","ORD-106","rp-106"
"setl_36","adjustment","adjustment_0107","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","133689","0","0","133689","ORD-107","rp-107"
"setl_36","transfer","transfer_0108","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","71988","0","0","71988","ORD-108","rp-108"
"setl_37","adjustment","adjustment_0109","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","192442","0","0","192442","ORD-109","rp-109"
"setl_37","adjustment","adjustment_0110","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","25681","0","0","25681","ORD-110","rp-110"
"setl_37","adjustment","adjustment_0111","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","47037","0","0","47037","ORD-111","rp-111"
"setl_38","transfer","transfer_0112","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","51394","0","0","51394","ORD-112","rp-112"
"setl_38","refund","refund_0113","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","33333","0","0","-33333","ORD-113","rp-113"
"setl_38","refund","refund_0114","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","116492","0","0","-116492","ORD-114","rp-114"
"setl_39","transfer","transfer_0115","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","135699","0","0","135699","ORD-115","rp-115"
"setl_39","payment","pay_0116","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","119386","2388","430","116568","ORD-116","rp-116"
"setl_39","payment","pay_0117","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","10104","202","36","9866","ORD-117","rp-117"
"setl_40","payment","pay_0118","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","118312","2366","426","115520","ORD-118","rp-118"
"setl_40","transfer","transfer_0119","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","117841","0","0","117841","ORD-119","rp-119"
"setl_40","payment","pay_0120","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","129656","2593","467","126596","ORD-120","rp-120"
