settlementRowId,financialTruth,expectedControllerDecision,scenario
"rp-97","CLOSEABLE","CLOSED","CLOSE"
"rp-98","HARD_EXCEPTION","EXCEPTION","MISSING_LEDGER_RECORD"
"rp-99","HARD_EXCEPTION","EXCEPTION","MISSING_LEDGER_RECORD"
"rp-100","HARD_EXCEPTION","EXCEPTION","MISSING_LEDGER_RECORD"
"rp-101","HARD_EXCEPTION","EXCEPTION","MISSING_LEDGER_RECORD"
"rp-102","HARD_EXCEPTION","EXCEPTION","AMOUNT_DELTA"
"rp-103","HARD_EXCEPTION","EXCEPTION","AMOUNT_DELTA"
"rp-104","HARD_EXCEPTION","EXCEPTION","AMOUNT_DELTA"
"rp-105","HARD_EXCEPTION","EXCEPTION","AMOUNT_DELTA"
"rp-106","HARD_EXCEPTION","EXCEPTION","DUPLICATE_LEDGER_CANDIDATE"
"rp-107","HARD_EXCEPTION","EXCEPTION","DUPLICATE_LEDGER_CANDIDATE"
"rp-108","HARD_EXCEPTION","EXCEPTION","DUPLICATE_LEDGER_CANDIDATE"
"rp-109","HARD_EXCEPTION","EXCEPTION","UNKNOWN_ADJUSTMENT"
"rp-110","HARD_EXCEPTION","EXCEPTION","UNKNOWN_ADJUSTMENT"
"rp-111","HARD_EXCEPTION","EXCEPTION","UNKNOWN_ADJUSTMENT"
"rp-112","CLOSEABLE","EXCEPTION","UNVERIFIED_BANK_NARRATION"
"rp-113","CLOSEABLE","EXCEPTION","UNVERIFIED_BANK_NARRATION"
"rp-114","CLOSEABLE","EXCEPTION","UNVERIFIED_BANK_NARRATION"
"rp-115","HARD_EXCEPTION","EXCEPTION","MISSING_BANK_CREDIT"
"rp-116","HARD_EXCEPTION","EXCEPTION","MISSING_BANK_CREDIT"
"rp-117","HARD_EXCEPTION","EXCEPTION","MISSING_BANK_CREDIT"
"rp-118","HARD_EXCEPTION","EXCEPTION","AMBIGUOUS_BANK_CREDIT"
"rp-119","HARD_EXCEPTION","EXCEPTION","AMBIGUOUS_BANK_CREDIT"
"rp-120","HARD_EXCEPTION","EXCEPTION","AMBIGUOUS_BANK_CREDIT"
